iter	Passed	Remaining
326	4020303	10733102
327	4032671	10721005
328	4045030	10708881
329	4057412	10696815
330	4069816	10684806
331	4082144	10672594
332	4094356	10660080
333	4106658	10647803
334	4118905	10635383
335	4131251	10623218
336	4143442	10610656
337	4155849	10598646
338	4168131	10586316
339	4180431	10574032
340	4192718	10561716
341	4204911	10549163
342	4217255	10536990
343	4229466	10524486
344	4241338	10511143
345	4253537	10498615
346	4265714	10486036
347	4278009	10473747
348	4290214	10461239
349	4302388	10448658
350	4314620	10436219
351	4326929	10423966
352	4339126	10411444
353	4351523	10399403
354	4363863	10387223
355	4376227	10375100
356	4388373	10362460
357	4400564	10349931
358	4412760	10337414
359	4425037	10325087
360	4437236	10312579
361	4449499	10300223
362	4461697	10287714
363	4474121	10275730
364	4486049	10262607
365	4498300	10250225
366	4510656	10238085
367	4522859	10225594
368	4535092	10213175
369	4547398	10200920
370	4559589	10188408
371	4571742	10175814
372	4584061	10163589
373	4596262	10151102
374	4608701	10139143
375	4620923	10126704
376	4633075	10114113
377	4645440	10101990
378	4657648	10089524
379	4669856	10077059
380	4682182	10064849
381	4694322	10052239
382	4706385	10039469
383	4718625	10027078
384	4730843	10014642
385	4743052	10002189
386	4755253	9989718
387	4767612	9977579
388	4779899	9965291
389	4791767	9952133
390	4803902	9939531
391	4816137	9927139
392	4828362	9914729
393	4840522	9902185
394	4852748	9889777
395	4865063	9877553
396	4877234	9865037
397	4889395	9852500
398	4901607	9840069
399	4913842	9827684
400	4926158	9815463
401	4938339	9802972
402	4950900	9791235
403	4963224	9779026
404	4975447	9766618
405	4987654	9754181
406	4999530	9741099
407	5011949	9729078
408	5024193	9716716
409	5036607	9704683
410	5048755	9692136
411	5060962	9679704
412	5073259	9667445
413	5085553	9655182
414	5097791	9642811
415	5110084	9630543
416	5122368	9618260
417	5134769	9606195
418	5147079	9593960
419	5159242	9581451
420	5171419	9568969
421	5183729	9556733
422	5195789	9544037
423	5207756	9531177
424	5220012	9518845
425	5232176	9506349
426	5244780	9494649
427	5256987	9482230
428	5269310	9470019
429	5281470	9457517
430	5293726	9445187
431	5305975	9432845
432	5318147	9420367
433	5330323	9407898
434	5342630	9395660
435	5354954	9383451
436	5367122	9370971
437	5379432	9358739
438	5391808	9346620
439	5403973	9334136
440	5416300	9321931
441	5428165	9308935
442	5440426	9296621
443	5452711	9284347
